Model,seed,n_sources,n_mixtures,n_samples,presumed_domain,SINR,SNRinp_target,SNRinp_measured,execution_time,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,800,5,12,100000,sparse,26.73264428098016,30.0,29.99747754272768,14.535319677990628,27.33697487613597,25.221758529304456,27.15745425699183,26.65404551392486,27.76590232377162
PredictiveDecorrBSS,800,5,13,100000,sparse,26.825253328793135,30.0,30.00928790845169,14.519091232010396,27.434079216404832,25.13938341560811,27.072548355183926,27.090494346850917,27.96059745216857
PredictiveDecorrBSS,900,5,7,100000,sparse,25.323106768819127,30.0,29.994708959596863,14.568017765996046,24.47828484741891,26.281161234594812,25.222199973898405,27.25297790084459,24.11474093045255
PredictiveDecorrBSS,900,5,8,100000,sparse,25.543450198527058,30.0,30.00300276703035,14.573380462999921,24.708450894572756,25.974601074720507,26.083374021976727,27.186341063315442,24.347219123371783
PredictiveDecorrBSS,900,5,9,100000,sparse,25.549476436508737,30.0,29.999004830567433,14.701851374993566,24.390005695276113,25.92027034811505,25.99767678898936,27.27468297148256,24.73968664960237
PredictiveDecorrBSS,900,5,10,100000,sparse,25.674205537971133,30.0,29.9951444569052,14.520868334016996,24.00154386232743,26.45921903698014,26.111987061763635,27.21755672015221,25.284577865305195
PredictiveDecorrBSS,900,5,11,100000,sparse,26.918317727772937,30.0,29.996930749589296,14.432871923985658,25.92367839741761,26.630064416471203,29.9081786511481,27.386720998498863,25.85735392781779
PredictiveDecorrBSS,900,5,12,100000,sparse,27.010758501428384,30.0,29.998170118493768,14.58500505500706,26.45072970955176,29.55175095678465,25.720907207786958,27.184750867759835,27.02443270669847
PredictiveDecorrBSS,900,5,13,100000,sparse,27.27020091941462,30.0,30.021832656189297,14.583322755002882,26.277221439546455,26.498820088572998,30.240704291304226,27.30007437623855,27.0424599665121
PredictiveDecorrBSS,1000,5,7,100000,sparse,24.69976740679057,30.0,29.994515868749374,14.510523725009989,26.54676848314587,25.04397028304854,21.257009192516385,26.251727303248167,27.45987994842929
PredictiveDecorrBSS,1000,5,8,100000,sparse,25.714661985514347,30.0,29.987824188604925,15.727072222012794,26.42379649702079,25.976774430505255,23.10985803067701,26.95321112911369,27.615177078897595
PredictiveDecorrBSS,1000,5,9,100000,sparse,26.791883297767942,30.0,30.00008961939015,15.717336645000614,26.32053592448278,27.584962157346652,25.37095079347967,27.4200954012542,27.745526401461547
PredictiveDecorrBSS,1000,5,10,100000,sparse,26.859037983525063,30.0,29.99438173007964,16.7270090910024,26.841682650357612,26.51569260868001,26.141922405242184,27.35380805101866,27.599454604383045
PredictiveDecorrBSS,1000,5,11,100000,sparse,26.89762736641393,30.0,29.998513559363886,16.698134806007147,27.01570779250654,26.489701739998388,26.152585906162443,27.393649294886377,27.598734833368095
PredictiveDecorrBSS,1000,5,12,100000,sparse,26.857862525719153,30.0,29.991915636259634,17.82995031098835,26.69029807025927,27.87065898831692,26.25692835160563,27.65319612978566,26.100308641119327
PredictiveDecorrBSS,1000,5,13,100000,sparse,26.885188581414834,30.0,30.009864290123424,17.893708520015934,26.92222563135699,27.927535750024735,26.065414661584846,27.58685562776963,26.213416086558393
PredictiveDecorrBSS,1100,5,7,100000,sparse,24.568747877785746,30.0,29.989966161047246,17.832822661002865,24.156589886209158,23.541371132860412,27.208390749000834,25.05056236449451,23.798952190467723
PredictiveDecorrBSS,1100,5,8,100000,sparse,25.221128233770997,30.0,30.006869815084684,17.96877388699795,25.259894112557202,23.73064998862302,27.63740716279281,24.905515512802594,25.429372335631136
PredictiveDecorrBSS,1100,5,9,100000,sparse,25.495931386741916,30.0,30.004550936124478,16.693808528973022,26.54646356790465,24.341578128773325,27.031639599114875,24.910109162800275,25.226411373193336
PredictiveDecorrBSS,1100,5,10,100000,sparse,26.012912330962628,30.0,30.000905061975782,16.747655423998367,26.711096842204917,27.179681320793144,26.369346691808943,26.287088982048793,24.19987195486343
PredictiveDecorrBSS,1100,5,11,100000,sparse,26.756546961301982,30.0,29.998513906913786,16.703450873988913,26.408914644922486,28.71436472012907,27.02905103687916,26.943349143887595,25.362752169879997
PredictiveDecorrBSS,1100,5,12,100000,sparse,27.627431461509197,30.0,29.995337285786437,16.79898634197889,26.96610792644786,27.49549087692597,27.52560388598353,27.36334019826908,29.044122991532042
PredictiveDecorrBSS,1100,5,13,100000,sparse,27.61878581804139,30.0,29.997762608556382,16.68259856000077,26.704263090247768,27.680013603469323,27.55228052568288,27.29440653431514,29.22692483716486
PredictiveDecorrBSS,1200,5,7,100000,sparse,24.167584127417328,30.0,29.996136935861077,16.71363419399131,22.555447521576767,27.7577893006396,23.271467315490742,22.89171568400924,26.838696384177855
PredictiveDecorrBSS,1200,5,8,100000,sparse,26.138417217425314,30.0,29.9967306693025,16.643260996002937,24.414897031163903,27.49363892430189,26.444859634707992,24.62978692935374,29.800603023883212
PredictiveDecorrBSS,1200,5,9,100000,sparse,27.373044351499214,30.0,30.001023264987133,16.77616105598281,26.812617261180126,30.37714647117386,26.11288896298303,27.715009299594826,26.96161611730456
PredictiveDecorrBSS,1200,5,10,100000,sparse,27.34424316053139,30.0,30.010688530270862,16.829105955985142,26.90423836774694,29.587979663895602,26.24130305509055,27.812814579068757,26.895668601743882
PredictiveDecorrBSS,1200,5,11,100000,sparse,26.727547549159254,30.0,29.99024136158357,16.683692657010397,26.887111798659213,27.46895077848152,25.318234487806926,27.270173558632287,27.039979168018885
PredictiveDecorrBSS,1200,5,12,100000,sparse,26.612593795365843,30.0,30.00060659515514,15.853987337002764,24.422557486400404,27.458484187021227,27.60586724231292,27.560665268905606,27.031526039506943
