Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,2500,0.0,laplace,26.520060212114068,30.0,30.00209673619688,8.719322164077312,5,10,100000,nnantisparse,26.9823491264279,25.13312439212939,26.322219506849436,27.864156363495276,26.763896591182483
PredictiveDecorrBSS,2600,0.0,laplace,27.299235768830812,30.0,30.021452734282875,8.754336285986938,5,10,100000,nnantisparse,27.687762707150668,25.543411121483672,27.919912785361262,27.451205431474058,28.51663906782933
PredictiveDecorrBSS,2700,0.0,laplace,25.152614754236424,30.0,29.983472134838586,8.761136861983687,5,10,100000,nnantisparse,21.07536220937879,26.27410354061235,28.61889478557015,26.646113539925743,28.056951359296626
PredictiveDecorrBSS,2800,0.0,laplace,9.770858846061923,30.0,29.986215491415127,8.719242780003697,5,10,100000,nnantisparse,26.979084504198948,3.4480576899532602,26.3914986342817,26.955270931133292,25.797870613852737
PredictiveDecorrBSS,2900,0.0,laplace,26.61726026856244,30.0,29.98732655488206,8.689094282919541,5,10,100000,nnantisparse,27.01306675423648,27.299842513533715,25.288234732105302,25.63452589710421,28.690258879571676
PredictiveDecorrBSS,0,0.0,rademacher,27.777845335689282,30.0,30.00929001129667,8.682288607000373,5,10,100000,nnantisparse,28.975875053709377,28.904312208911776,25.43394100502718,27.869002882394742,28.87773047079818
PredictiveDecorrBSS,100,0.0,rademacher,9.795195273754253,30.0,30.008978085054924,8.716829465935007,5,10,100000,nnantisparse,26.3545803693713,26.57083772725366,3.4716601841673778,25.663892295891312,26.613433295401038
PredictiveDecorrBSS,200,0.0,rademacher,9.887785769877842,30.0,30.007147524505093,8.720045795082115,5,10,100000,nnantisparse,3.472135503696517,24.332459838970436,27.331094869106987,24.720510068830237,23.62711564689906
PredictiveDecorrBSS,300,0.0,rademacher,9.83432055679464,30.0,29.99043548088437,8.696562706958503,5,10,100000,nnantisparse,29.552792504623593,27.13420819159564,26.20947925069753,3.494412142760142,25.58939279425418
PredictiveDecorrBSS,400,0.0,rademacher,25.90289732118849,30.0,30.009402456823167,8.697798468056135,5,10,100000,nnantisparse,29.124466325699014,27.16188324362659,26.911820452206562,24.081596991076463,24.248446507476935
PredictiveDecorrBSS,500,0.0,rademacher,26.9388757348585,30.0,30.01481085183641,8.749761314014904,5,10,100000,nnantisparse,25.714193097113313,26.294289077316854,28.526282962149114,26.37476416456227,28.59591503853613
PredictiveDecorrBSS,600,0.0,rademacher,27.262256014711326,30.0,29.997057700394304,8.676626161090098,5,10,100000,nnantisparse,26.623345325767474,28.038186661345964,27.099667777870053,27.836386152064392,26.88624696742297
PredictiveDecorrBSS,700,0.0,rademacher,25.918999250915697,30.0,30.00013525329215,8.737036414910108,5,10,100000,nnantisparse,24.76487134085899,27.181371616221885,28.63084724647522,26.937968739309646,23.827308253125015
PredictiveDecorrBSS,800,0.0,rademacher,27.686613889206562,30.0,29.97127852650554,8.70749958511442,5,10,100000,nnantisparse,28.715324962470948,28.487839573696814,27.102350885644626,27.385486241185216,27.02565217905189
PredictiveDecorrBSS,900,0.0,rademacher,26.80776306260097,30.0,30.00639070994456,8.748656946932897,5,10,100000,nnantisparse,25.98665293325049,27.544104255391012,27.254286831812596,27.130434175782362,26.322780750085567
PredictiveDecorrBSS,1000,0.0,rademacher,26.359894536178828,30.0,30.016475210578793,8.733124986058101,5,10,100000,nnantisparse,26.976789798943592,26.94711243528453,25.50405040769277,27.164810128064726,25.538566114727367
PredictiveDecorrBSS,1100,0.0,rademacher,27.75842265052301,30.0,29.99740208364519,8.724446582025848,5,10,100000,nnantisparse,28.02796300318218,27.54439501212328,28.547809555672753,26.953247669720408,27.881537496154827
PredictiveDecorrBSS,1200,0.0,rademacher,26.930671686406377,30.0,29.991468061770078,8.694776850985363,5,10,100000,nnantisparse,27.95200874556919,26.87830187836822,27.155328005115862,25.669760137191385,27.346452996384464
PredictiveDecorrBSS,1300,0.0,rademacher,26.592541892272283,30.0,30.006615869525287,8.670209323987365,5,10,100000,nnantisparse,25.58530969884834,26.132248178892254,27.157459342643826,25.934617604435996,28.901084115902073
