Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,500,0.0,uniform,24.654595000507893,30.0,30.014753776660406,15.665228519002994,5,10,100000,24.630569201346944,25.730950902096588,23.243208969343673,25.373629419295447,24.736716840938495
PredictiveDecorrBSS,600,0.0,uniform,24.6991580780946,30.0,30.00294955149391,15.653581392998603,5,10,100000,24.63763159203026,24.447733312809852,24.357337128605245,24.615860657953913,25.538061961909648
PredictiveDecorrBSS,700,0.0,uniform,24.5011595189057,30.0,29.9968248301089,15.89300224100225,5,10,100000,21.626115522099965,26.975306210784474,25.776085165798204,25.98991201482381,24.338214592321453
PredictiveDecorrBSS,800,0.0,uniform,25.690748358461178,30.0,29.991869970447233,16.034249468997587,5,10,100000,25.66197868258047,25.766164742704536,25.459273012112646,25.90905278694137,25.66915202767381
PredictiveDecorrBSS,900,0.0,uniform,25.647251719921247,30.0,30.004352888407627,16.127715385002375,5,10,100000,24.440784449479885,24.971664422579536,26.61971686285905,26.065103398872314,26.594647779600567
PredictiveDecorrBSS,1000,0.0,uniform,24.1888892903454,30.0,30.008103192282704,16.146004748999985,5,10,100000,22.41698054389102,26.901724457763414,24.043738538230677,22.589212460713362,27.343772796678675
PredictiveDecorrBSS,1100,0.0,uniform,25.337976964121225,30.0,29.993194441084007,15.939462300997548,5,10,100000,25.567021866636512,27.199610345849784,24.22917072358971,27.606180862617226,23.533983625900365
PredictiveDecorrBSS,1200,0.0,uniform,23.196073047697414,30.0,29.996597346912033,15.708696374000283,5,10,100000,24.2475391976159,22.199249807229084,21.924883752051663,22.916131200082628,25.801730351790127
PredictiveDecorrBSS,1300,0.0,uniform,26.166719187905237,30.0,29.995515017129158,15.862084401000175,5,10,100000,25.084325131814694,26.93284553320913,28.339474882108778,24.483267990367995,27.150757480618402
PredictiveDecorrBSS,1400,0.0,uniform,25.83791817368502,30.0,29.99899772349317,16.0025720320009,5,10,100000,27.426696506863145,25.800709918233416,26.234237239800816,25.387521745174038,24.790311885697108
PredictiveDecorrBSS,1500,0.0,uniform,26.804511946199558,30.0,29.994990003185656,15.957192140998814,5,10,100000,27.59519755829402,28.150466836266197,26.081555858156207,26.077412038058977,26.508117423138945
PredictiveDecorrBSS,1600,0.0,uniform,25.89858515102823,30.0,29.988902068004588,16.00242468599754,5,10,100000,26.741699705916187,25.559839967608816,24.400876569636196,27.09768743369873,26.231208511527196
PredictiveDecorrBSS,1700,0.0,uniform,25.41678822315308,30.0,30.011454058179297,15.967615831999865,5,10,100000,25.852406728371555,25.340126610560052,26.116794042115792,24.961798174387553,24.93854111041369
PredictiveDecorrBSS,1800,0.0,uniform,25.368339223979373,30.0,29.99659624948267,16.1327080810006,5,10,100000,24.38552171895565,24.998657147726053,25.03025737118117,25.55472521867525,27.459546867420848
PredictiveDecorrBSS,1900,0.0,uniform,24.78202713858446,30.0,29.9920321752873,15.95534996599963,5,10,100000,23.882616405652982,27.91444987046114,25.491719444117567,22.360047701145923,26.39146757145136
PredictiveDecorrBSS,2000,0.0,uniform,24.939111607697875,30.0,30.00768163424743,16.06681235599899,5,10,100000,26.30074618761627,25.12987489085895,22.93816710280719,25.349749289421304,25.806839201799406
PredictiveDecorrBSS,2100,0.0,uniform,25.211074660340298,30.0,30.003448023325227,16.28498448800019,5,10,100000,24.89496571231243,23.99337152660387,25.487297620206526,24.585892263226633,28.158113537522667
PredictiveDecorrBSS,2200,0.0,uniform,25.898191618897258,30.0,29.98878094911124,16.287241889000143,5,10,100000,25.629949378792528,26.006563188589617,26.116120464234776,26.566582184262714,25.28141649196762
PredictiveDecorrBSS,2300,0.0,uniform,25.02334914738025,30.0,30.006012801798548,16.084572626998124,5,10,100000,24.719456275076574,24.6689751254101,24.780305283403177,26.76074466932485,24.549459022268557
