Model,gradient_variant,seed,SNRinp_target,SNRinp_measured,SINR,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,full,2800,30.0,30.000405442860583,27.45044626357963,17.209881419024896,5,10,100000,sparse,27.312230608187754,28.118312559039296,26.290022806517754,28.301492330152804,27.51630587518401
PredictiveDecorrBSS,truncated,2900,30.0,29.988195522433656,25.74224693151001,15.303748061007354,5,10,100000,sparse,27.828465352248685,26.61438850350541,23.398092938941875,28.361249586530846,24.607349545049196
PredictiveDecorrBSS,full,2900,30.0,29.988195522433656,25.894880453239352,16.524735076993238,5,10,100000,sparse,27.852138821438754,26.617802449411396,23.44453075698594,28.347038259750338,25.148480069015914
PredictiveDecorrBSS,truncated,0,25.0,25.003921877920554,23.036740111473467,15.328355630015722,5,10,100000,sparse,25.171546256569492,25.17361132899014,23.92418417910037,22.145968820496588,20.634060780454732
PredictiveDecorrBSS,full,0,25.0,25.003921877920554,23.2828712336253,17.28867525199894,5,10,100000,sparse,25.194212780541196,25.21191330077405,22.70714902701091,24.477626536171137,20.678742870212172
PredictiveDecorrBSS,truncated,100,25.0,25.010138961086273,23.7107507756345,15.399699488014448,5,10,100000,sparse,25.24809252835682,23.02403321720003,23.40149026285376,23.919533189184868,23.299435400285656
PredictiveDecorrBSS,full,100,25.0,25.010138961086273,23.718149051430064,17.29521255000145,5,10,100000,sparse,25.254756905289014,23.03339616608511,23.407358095301806,23.92949199425309,23.304527639660915
PredictiveDecorrBSS,truncated,200,25.0,25.005513037743047,22.909732995853336,15.417648663016735,5,10,100000,sparse,19.866747837092337,25.062032611128487,24.688154141499684,25.484365527866338,22.33101945526457
PredictiveDecorrBSS,full,200,25.0,25.005513037743047,22.914976271022592,17.26600079901982,5,10,100000,sparse,19.870529808253426,25.068750292702937,24.69676359547116,25.492642437777135,22.33468838592379
PredictiveDecorrBSS,truncated,300,25.0,24.99506176695879,22.60626846447291,15.449969167995732,5,10,100000,sparse,24.368633896342594,26.170400570866757,19.559631614236338,23.552136889278117,22.283684682419516
PredictiveDecorrBSS,full,300,25.0,24.99506176695879,22.61112325088389,17.288294820988085,5,10,100000,sparse,24.37619225068702,26.17865406762737,19.562235637305292,23.555752348691975,22.290594512468257
PredictiveDecorrBSS,truncated,400,25.0,25.001287938126985,21.15230781776477,15.360111651010811,5,10,100000,sparse,22.17344182310326,18.951352261142986,23.281756236794855,23.90504225471745,19.68135164194399
PredictiveDecorrBSS,full,400,25.0,25.001287938126985,21.164864996302203,17.136596659984207,5,10,100000,sparse,22.186600715884104,18.9576580299595,23.287780184781056,23.929243609027765,19.699334131245397
PredictiveDecorrBSS,truncated,500,25.0,25.010303315852916,25.051012031171112,15.32097659399733,5,10,100000,sparse,26.264363630913312,24.140876314992056,25.811417270601495,24.241404069459172,25.186923088131113
PredictiveDecorrBSS,full,500,25.0,25.010303315852916,25.056146566399477,17.191427026002202,5,10,100000,sparse,26.271101447063646,24.144185704092983,25.816740965820586,24.246343356748508,25.193219697030997
PredictiveDecorrBSS,truncated,600,25.0,25.006325528614617,22.82887768357643,14.567643283982761,5,10,100000,sparse,24.299643936353586,19.710735174428052,26.15270669687675,22.109528165606935,25.14611669422601
PredictiveDecorrBSS,full,600,25.0,25.006325528614617,22.834092669813817,16.482065035001142,5,10,100000,sparse,24.30168254564911,19.71545377810925,26.161223468705835,22.113990994376497,25.15582255665677
PredictiveDecorrBSS,truncated,700,25.0,25.003730301313922,22.385343487982684,14.659612557996297,5,10,100000,sparse,21.43463614934187,22.285920309511656,22.71775607742766,25.843163595968235,21.081496084295004
PredictiveDecorrBSS,full,700,25.0,25.003730301313922,22.39367223802408,16.464880269981222,5,10,100000,sparse,21.437766905996924,22.294293320620994,22.723763399559193,25.874338851930077,21.088647449402576
PredictiveDecorrBSS,truncated,800,25.0,24.989045679417256,24.371880936319652,14.605827079998562,5,10,100000,sparse,24.680722274270078,24.18999829507883,25.17960832609213,24.079171316011553,23.861607798744117
PredictiveDecorrBSS,full,800,25.0,24.989045679417256,24.379295827992408,16.01914759000647,5,10,100000,sparse,24.687075434471414,24.19935788916633,25.187746853467257,24.081518198202687,23.87230691271318
PredictiveDecorrBSS,truncated,900,25.0,25.002182752288434,24.12054503962871,14.321551013999851,5,10,100000,sparse,23.271766462514446,24.764853260727016,24.406316843104094,23.32208129011429,25.183943948026478
PredictiveDecorrBSS,full,900,25.0,25.002182752288434,24.12346955479982,15.966240981011651,5,10,100000,sparse,23.274686918175455,24.7680868006446,24.409961751521003,23.322809849055165,25.189069187562723
PredictiveDecorrBSS,truncated,1000,25.0,24.994152030972515,25.282526255256464,14.748715078982059,5,10,100000,sparse,26.261487249548612,23.92541705837045,24.869459161426644,25.99778692681515,25.791414132384517
